Forescast Date,Week,Month,Date,Requested,Interval,AM/PM,Average Wait Time,Expired/Declined,Abandoned,Resolved,Total Chat Requests,Leave Blank,Week,Chat,Requested,Hour,Average Handled Time,Average Wait Time,Service level,No of Resolved Requests,Leave Blank,Total Handle Time,AHT,AWT,SL
8-Nov,Thursday,December,12/22/2022,12/22/2022,9:00,AM,0:00:56,0,0,21,21,,Thursday,12/22/2022,9:00,AM,0:11:45,0:00:55,95.24%,21,,14805,705,55,95%
8-Nov,Thursday,December,12/22/2022,12/22/2022,10:00,AM,0:00:07,0,0,28,28,,Thursday,12/22/2022,10:00,AM,0:21:30,0:00:06,100.00%,28,,36120,1290,6,100%
8-Nov,Thursday,December,12/22/2022,12/22/2022,11:00,AM,0:00:06,0,0,33,33,,Thursday,12/22/2022,11:00,AM,0:15:47,0:00:05,100.00%,33,,31251,947,5,100%
8-Nov,Thursday,December,12/22/2022,12/22/2022,12:00,PM,0:00:06,0,0,24,24,,Thursday,12/22/2022,12:00,PM,0:15:52,0:00:05,100.00%,24,,22848,952,5,100%
8-Nov,Thursday,December,12/22/2022,12/22/2022,1:00,PM,0:00:09,1,0,30,30,,Thursday,12/22/2022,1:00,PM,0:12:34,0:00:08,96.67%,30,,22620,754,8,97%
8-Nov,Thursday,December,12/22/2022,12/22/2022,2:00,PM,0:00:08,1,0,25,25,,Thursday,12/22/2022,2:00,PM,0:16:28,0:00:07,96.00%,25,,24700,988,7,96%
8-Nov,Thursday,December,12/22/2022,12/22/2022,3:00,PM,0:00:06,0,0,29,29,,Thursday,12/22/2022,3:00,PM,0:13:37,0:00:05,100.00%,29,,23693,817,5,100%
8-Nov,Thursday,December,12/22/2022,12/22/2022,4:00,PM,0:00:09,1,0,28,28,,Thursday,12/22/2022,4:00,PM,0:14:15,0:00:08,96.43%,28,,23940,855,8,96%
8-Nov,Friday,December,12/23/2022,12/23/2022,8:00,AM,0:00:23,4,0,12,12,,Friday,12/23/2022,8:00,AM,0:20:55,0:00:22,75.00%,12,,15060,1255,22,75%
8-Nov,Friday,December,12/23/2022,12/23/2022,9:00,AM,0:00:09,1,0,20,20,,Friday,12/23/2022,9:00,AM,0:16:48,0:00:08,100.00%,20,,20160,1008,8,100%
8-Nov,Friday,December,12/23/2022,12/23/2022,10:00,AM,0:00:11,2,0,25,25,,Friday,12/23/2022,10:00,AM,0:13:48,0:00:10,92.00%,25,,20700,828,10,92%
8-Nov,Friday,December,12/23/2022,12/23/2022,11:00,AM,0:00:10,2,0,34,34,,Friday,12/23/2022,11:00,AM,0:14:12,0:00:09,94.12%,34,,28968,852,9,94%
8-Nov,Friday,December,12/23/2022,12/23/2022,12:00,PM,0:00:08,1,0,38,38,,Friday,12/23/2022,12:00,PM,0:15:18,0:00:07,97.37%,38,,34884,918,7,97%
8-Nov,Friday,December,12/23/2022,12/23/2022,1:00,PM,0:00:08,0,0,21,21,,Friday,12/23/2022,1:00,PM,0:11:11,0:00:07,100.00%,21,,14091,671,7,100%
8-Nov,Friday,December,12/23/2022,12/23/2022,2:00,PM,0:00:10,1,0,18,18,,Friday,12/23/2022,2:00,PM,0:15:36,0:00:09,94.44%,18,,16848,936,9,94%
8-Nov,Friday,December,12/23/2022,12/23/2022,3:00,PM,0:01:50,7,0,28,28,,Friday,12/23/2022,3:00,PM,0:13:45,0:01:49,67.86%,28,,23100,825,109,68%
8-Nov,Friday,December,12/23/2022,12/23/2022,4:00,PM,0:00:14,2,0,14,14,,Friday,12/23/2022,4:00,PM,0:17:00,0:00:13,85.71%,14,,14280,1020,13,86%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,8:00,AM,0:00:10,0,1,14,15,,Tuesday,12/27/2022,8:00,AM,0:11:25,0:00:09,100.00%,14,,10275,685,9,100%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,9:00,AM,0:02:42,5,0,30,30,,Tuesday,12/27/2022,9:00,AM,0:14:12,0:02:41,50.00%,30,,25560,852,161,50%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,10:00,AM,0:02:36,7,0,42,42,,Tuesday,12/27/2022,10:00,AM,0:14:31,0:02:35,47.62%,42,,36582,871,155,48%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,11:00,AM,0:00:10,2,0,45,45,,Tuesday,12/27/2022,11:00,AM,0:13:41,0:00:09,95.56%,45,,36945,821,9,96%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,12:00,PM,0:00:17,6,0,36,36,,Tuesday,12/27/2022,12:00,PM,0:15:00,0:00:16,86.11%,36,,32400,900,16,86%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,1:00,PM,0:00:57,4,0,40,40,,Tuesday,12/27/2022,1:00,PM,0:18:36,0:00:57,67.50%,40,,44640,1116,57,68%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,2:00,PM,0:01:07,4,1,44,45,,Tuesday,12/27/2022,2:00,PM,0:18:35,0:01:06,72.73%,44,,50175,1115,66,73%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,3:00,PM,0:00:15,4,0,33,33,,Tuesday,12/27/2022,3:00,PM,0:15:21,0:00:14,90.91%,33,,30393,921,14,91%
8-Nov,Tuesday,December,12/27/2022,12/27/2022,4:00,PM,0:02:58,5,4,20,24,,Tuesday,12/27/2022,4:00,PM,0:18:45,0:02:57,55.00%,20,,27000,1125,177,55%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,8:00,AM,0:00:09,0,0,2,2,,Wednesday,12/28/2022,8:00,AM,0:28:00,0:00:08,100.00%,2,,3360,1680,8,100%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,9:00,AM,0:01:09,1,1,25,26,,Wednesday,12/28/2022,9:00,AM,0:18:07,0:01:08,72.00%,25,,28262,1087,68,72%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,10:00,AM,0:00:08,0,0,27,27,,Wednesday,12/28/2022,10:00,AM,0:12:22,0:00:07,100.00%,27,,20034,742,7,100%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,11:00,AM,0:00:08,0,0,40,40,,Wednesday,12/28/2022,11:00,AM,0:16:46,0:00:07,100.00%,40,,40240,1006,7,100%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,12:00,PM,0:00:26,2,0,33,33,,Wednesday,12/28/2022,12:00,PM,0:09:47,0:00:25,87.88%,33,,19371,587,25,88%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,1:00,PM,0:00:24,1,0,36,36,,Wednesday,12/28/2022,1:00,PM,0:14:31,0:00:24,86.11%,36,,31356,871,24,86%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,2:00,PM,0:00:19,3,0,32,32,,Wednesday,12/28/2022,2:00,PM,0:13:46,0:00:18,87.50%,32,,26432,826,18,88%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,3:00,PM,0:03:20,7,7,29,36,,Wednesday,12/28/2022,3:00,PM,0:15:20,0:03:19,58.62%,29,,33120,920,199,59%
8-Nov,Wednesday,December,12/28/2022,12/28/2022,4:00,PM,0:01:49,4,5,33,38,,Wednesday,12/28/2022,4:00,PM,0:13:29,0:01:48,36.36%,33,,30742,809,108,36%
8-Nov,Thursday,December,12/29/2022,12/29/2022,8:00,AM,0:00:27,1,0,12,12,,Thursday,12/29/2022,8:00,AM,0:14:25,0:00:27,91.67%,12,,10380,865,27,92%
8-Nov,Thursday,December,12/29/2022,12/29/2022,9:00,AM,0:00:14,2,0,33,33,,Thursday,12/29/2022,9:00,AM,0:16:29,0:00:14,90.91%,33,,32637,989,14,91%
8-Nov,Thursday,December,12/29/2022,12/29/2022,10:00,AM,0:00:23,1,0,43,43,,Thursday,12/29/2022,10:00,AM,0:15:51,0:00:22,86.05%,43,,40893,951,22,86%
8-Nov,Thursday,December,12/29/2022,12/29/2022,11:00,AM,0:00:07,0,0,40,40,,Thursday,12/29/2022,11:00,AM,0:13:10,0:00:06,100.00%,40,,31600,790,6,100%
8-Nov,Thursday,December,12/29/2022,12/29/2022,12:00,PM,0:00:35,5,2,34,36,,Thursday,12/29/2022,12:00,PM,0:19:51,0:00:34,85.29%,34,,42876,1191,34,85%
8-Nov,Thursday,December,12/29/2022,12/29/2022,1:00,PM,0:00:13,2,0,37,37,,Thursday,12/29/2022,1:00,PM,0:14:12,0:00:12,94.59%,37,,31524,852,12,95%
8-Nov,Thursday,December,12/29/2022,12/29/2022,2:00,PM,0:00:17,2,2,40,42,,Thursday,12/29/2022,2:00,PM,0:12:58,0:00:16,92.50%,40,,32676,778,16,93%
8-Nov,Thursday,December,12/29/2022,12/29/2022,3:00,PM,0:02:00,5,2,34,36,,Thursday,12/29/2022,3:00,PM,0:12:44,0:01:59,55.88%,34,,27504,764,119,56%
8-Nov,Thursday,December,12/29/2022,12/29/2022,4:00,PM,0:00:11,2,0,26,26,,Thursday,12/29/2022,4:00,PM,0:10:18,0:00:10,96.15%,26,,16068,618,10,96%
8-Nov,Friday,December,12/30/2022,12/30/2022,8:00,AM,0:00:16,3,3,6,9,,Friday,12/30/2022,8:00,AM,0:14:50,0:00:15,83.33%,6,,8010,890,15,83%
8-Nov,Friday,December,12/30/2022,12/30/2022,9:00,AM,0:00:24,5,0,22,22,,Friday,12/30/2022,9:00,AM,0:23:46,0:00:23,86.36%,22,,31372,1426,23,86%
8-Nov,Friday,December,12/30/2022,12/30/2022,10:00,AM,0:00:23,4,0,27,27,,Friday,12/30/2022,10:00,AM,0:15:24,0:00:22,88.89%,27,,24948,924,22,89%
8-Nov,Friday,December,12/30/2022,12/30/2022,11:00,AM,0:00:12,2,0,31,31,,Friday,12/30/2022,11:00,AM,0:13:23,0:00:11,93.55%,31,,24893,803,11,94%
8-Nov,Friday,December,12/30/2022,12/30/2022,12:00,PM,0:00:13,4,1,35,36,,Friday,12/30/2022,12:00,PM,0:13:36,0:00:12,91.43%,35,,29376,816,12,91%
8-Nov,Friday,December,12/30/2022,12/30/2022,1:00,PM,0:00:27,2,0,25,25,,Friday,12/30/2022,1:00,PM,0:20:33,0:00:26,84.00%,25,,30825,1233,26,84%
8-Nov,Friday,December,12/30/2022,12/30/2022,2:00,PM,0:00:08,0,0,22,22,,Friday,12/30/2022,2:00,PM,0:14:57,0:00:07,100.00%,22,,19734,897,7,100%
8-Nov,Friday,December,12/30/2022,12/30/2022,3:00,PM,0:00:08,1,0,23,23,,Friday,12/30/2022,3:00,PM,0:16:05,0:00:07,100.00%,23,,22195,965,7,100%
8-Nov,Friday,December,12/30/2022,12/30/2022,4:00,PM,0:00:11,3,0,27,27,,Friday,12/30/2022,4:00,PM,0:12:02,0:00:10,92.59%,27,,19494,722,10,93%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,Saturday,,,,,,,,,0,0,0,0%
,Saturday,,1/0/1900,,,,,,,,,,,,,,,,,,,,,,
,Saturday,,1/0/1900,,,,,,,,,,,,,,,,,,,,,,
